English,VietNam
Stop,Dừng lại
try,thử
longed for,mong cho
so on,Sớm
moment,chốc lát
latest,muộn nhất
business,kinh doanh
come,đến
request,yêu cầu
better,tốt hơn
make,làm
vs,vs
Almost,Hầu hết
dr,dr
so much,rất nhiều
fall,ngã
day,ngày
wanted to,muốn
call,gọi
office,văn phòng
keep,giữ
wait,chờ đợi
number,con số
will,sẽ
hard,cứng
Has,có
remember,nhớ lại
o,o
see,xem
classes,các lớp học
Good evening,Chào buổi tối
will,sẽ
take,lấy
ass,đít
on board,trên tàu
thought,nghĩ
word,lời
must,phải
enough,đủ
closed,khép kín
ben,ben
pleasure,vui lòng
dog,chó
Game,trò chơi
gentlemen,quý ông
